dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),Location
58,1036.0,1864800.0,337500.0,238280.0,1346800.0,134680.0,397200.0,7254000.0,Tasikmalaya
59,1092.0,2074800.0,330000.0,251160.0,1419600.0,141960.0,463000.0,7196000.0,Tasikmalaya
60,3920.0,6860000.0,600000.0,588000.0,5096000.0,509600.0,582000.0,49500000.0,Tasikmalaya
61,910.0,1592500.0,2250000.0,209300.0,1183000.0,118300.0,326500.0,5716000.0,Tasikmalaya
62,1778.0,1955800.0,4650000.0,408940.0,2311400.0,231140.0,989000.0,11200000.0,Tasikmalaya
63,2072.0,7873600.0,660000.0,476560.0,2693600.0,269360.0,1226000.0,14740000.0,Tasikmalaya
64,980.0,1764000.0,2100000.0,225400.0,1274000.0,127400.0,386000.0,13050000.0,Tasikmalaya
65,630.0,1197000.0,220000.0,144900.0,819000.0,81900.0,347500.0,3330000.0,Tasikmalaya
66,1050.0,1837500.0,2400000.0,241500.0,1365000.0,136500.0,362500.0,13950000.0,Tasikmalaya
67,1344.0,2352000.0,3600000.0,309120.0,1747200.0,174720.0,456000.0,17050000.0,Tasikmalaya
68,770.0,1386000.0,255000.0,177100.0,1001000.0,100100.0,127000.0,9900000.0,Tasikmalaya
69,700.0,1330000.0,1700000.0,70000.0,910000.0,91000.0,190000.0,9300000.0,Tasikmalaya
70,1078.0,1886500.0,435000.0,247940.0,1401400.0,140140.0,369500.0,13050000.0,Tasikmalaya
71,1106.0,1935500.0,360000.0,254380.0,1437800.0,143780.0,521800.0,14850000.0,Tasikmalaya
72,1232.0,2217600.0,3300000.0,283360.0,1601600.0,160160.0,559600.0,16200000.0,Tasikmalaya
73,966.0,1835400.0,2550000.0,222180.0,1255800.0,125580.0,383200.0,13050000.0,Tasikmalaya
74,588.0,1029000.0,1200000.0,135240.0,764400.0,76440.0,248800.0,6950000.0,Tasikmalaya
75,924.0,1617000.0,1900000.0,212520.0,1201200.0,120120.0,282400.0,12650000.0,Tasikmalaya
76,1134.0,2041200.0,487500.0,260820.0,1474200.0,147420.0,530200.0,14850000.0,Tasikmalaya
77,1190.0,2261000.0,2000000.0,273700.0,1547000.0,154700.0,368500.0,16200000.0,Tasikmalaya
78,2100.0,3675000.0,950000.0,483000.0,2730000.0,273000.0,410000.0,27900000.0,Tasikmalaya
79,100.0,100000.0,87500.0,23000.0,130000.0,13000.0,250000.0,1620000.0,Tasikmalaya
80,2800.0,5040000.0,1600000.0,644000.0,3640000.0,364000.0,380000.0,36450000.0,Tasikmalaya
